Date_New,polarity,subjectivity,neg,neu,pos,compound,std_comp,std_neg,std_neu,std_pos
2022-01-01,0,0,0,0,0,0,-0.876865196,-0.890607345,-4.23329208,-1.68684405
2022-01-02,0.266666667,0.25,0,0.516333333,0.150333333,0.2083,0.471552085,-0.890607345,-0.811081883,-0.249398826
2022-01-03,-0.013888889,0.352777778,0.1195,0.608833333,0.271666667,-0.034283333,-1.098796253,1.18576255,-0.198000327,0.910756522
2022-01-04,0.166666667,0.166666667,0,0.666666667,0,0,-0.876865196,-0.890607345,0.185313727,-1.68684405
2022-01-05,0,0,0,0.204,0.296,0.2202,0.548586006,-0.890607345,-2.881198703,1.143425039
2022-01-06,0.35,0.4375,0.0625,0.5925,0.345,0.190375,0.355515696,0.195360173,-0.306256169,1.611949314
2022-01-07,0.000119048,0.25297619,0.014166667,0.9695,0.016333333,0.003533333,-0.853992379,-0.644454708,2.192465415,-1.530669292
2022-01-08,1,0.3,0,0.656,0.344,0.6369,3.246067912,-0.890607345,0.114616034,1.602387594
2022-01-09,0,0,0,0.5,0,0,-0.876865196,-0.890607345,-0.919337725,-1.68684405
2022-01-10,0.107142857,0.546428571,0.1905,0.694,0.1155,-0.2103,-2.238229355,2.419421651,0.366476565,-0.582465402
2022-01-11,0.25,0.394444444,0.057666667,0.853666667,0.088666667,0.028833333,-0.69021438,0.111378685,1.424732656,-0.839038219
2022-01-12,0.391666667,0.6375,0,0.5965,0.4035,0.465225,2.134740323,-0.890607345,-0.279744534,2.171309928
2022-01-13,0.071428571,0.133928571,0.04925,0.80725,0.1435,0,-0.876865196,-0.034864941,1.117087226,-0.314737245
2022-01-14,0,0,0,0.525666667,0.141,0.098666667,-0.238152578,-0.890607345,-0.749221401,-0.338641545
2022-01-15,-0.033333333,0.15,0,0.454,0.046,0.100475,-0.226446443,-0.890607345,-1.224221526,-1.247004935
2022-01-16,0.100588235,0.287320261,0,0.703764706,0.178588235,0.152864706,0.112695107,-0.890607345,0.431196144,0.020766633
2022-01-17,0.125,0.276388889,0,0.677833333,0.1555,0.177633333,0.273033298,-0.890607345,0.259325374,-0.199996606
2022-01-18,0.114444444,0.361481481,0.066466667,0.5382,0.195266667,0.203213333,0.43862386,0.264282912,-0.666151612,0.180241122
2022-01-19,0.202875817,0.34753268,0.036470588,0.572529412,0.214588235,0.166658824,0.201990482,-0.256913358,-0.438619405,0.364988549
2022-01-20,0,0,0,0.38625,0.36375,0.1643,0.186720782,-0.890607345,-1.673262341,1.791231562
2022-01-21,0.058703102,0.480420274,0.192636364,0.530090909,0.186272727,0.085218182,-0.32521052,2.456541995,-0.719897927,0.094243592
2022-01-25,0.176157407,0.291898148,0.008,0.418777778,0.239888889,0.2662,0.846364186,-0.751603503,-1.457671199,0.606906312
2022-01-26,0.097916667,0.20625,0.051666667,0.512833333,0.102166667,0.113633333,-0.141266778,0.007125803,-0.834279563,-0.709955001
2022-01-27,0.053479853,0.14790293,0.051576923,0.702,0.054038462,0.023957692,-0.721776544,0.005566465,0.419499835,-1.170143417
2022-01-28,0.081512346,0.397283951,0.021333333,0.815777778,0.162888889,0.137877778,0.015678146,-0.519930432,1.173608559,-0.12934612
2022-01-29,0.058333333,0.30625,0.02575,0.608125,0.241125,0.1845875,0.31805067,-0.443188728,-0.202695096,0.61872566
