Date,Open,High,Low,Close*,Adj Close**,Volume
4-Jan-21,"30,627.47","30,674.28","29,881.82","30,223.89","30,223.89","475,080,000"
5-Jan-21,"30,204.25","30,504.89","30,141.78","30,391.60","30,391.60","350,910,000"
6-Jan-21,"30,362.78","31,022.65","30,313.07","30,829.40","30,829.40","500,430,000"
7-Jan-21,"30,901.18","31,193.40","30,897.86","31,041.13","31,041.13","427,810,000"
8-Jan-21,"31,069.58","31,140.67","30,793.27","31,097.97","31,097.97","381,150,000"
11-Jan-21,"31,015.37","31,096.98","30,832.06","31,008.69","31,008.69","356,540,000"
12-Jan-21,"31,015.01","31,114.56","30,888.76","31,068.69","31,068.69","362,620,000"
13-Jan-21,"31,084.88","31,153.37","30,992.05","31,060.47","31,060.47","413,250,000"
14-Jan-21,"31,085.67","31,223.78","30,982.24","30,991.52","30,991.52","427,810,000"
15-Jan-21,"30,926.77","30,941.98","30,612.67","30,814.26","30,814.26","433,000,000"
19-Jan-21,"30,887.42","31,086.62","30,865.03","30,930.52","30,930.52","386,400,000"
20-Jan-21,"31,017.54","31,235.98","30,997.79","31,188.38","31,188.38","384,980,000"
21-Jan-21,"31,198.01","31,272.22","31,120.92","31,176.01","31,176.01","418,780,000"
22-Jan-21,"31,141.56","31,141.56","30,908.47","30,996.98","30,996.98","436,040,000"
25-Jan-21,"30,989.85","30,989.85","30,564.06","30,960.00","30,960.00","472,890,000"
26-Jan-21,"30,968.55","31,121.42","30,921.71","30,937.04","30,937.04","373,150,000"
27-Jan-21,"30,893.78","30,893.78","30,206.91","30,303.17","30,303.17","566,470,000"
28-Jan-21,"30,377.19","30,951.41","30,377.19","30,603.36","30,603.36","465,140,000"
29-Jan-21,"30,553.91","30,553.91","29,856.30","29,982.62","29,982.62","536,320,000"
1-Feb-21,"30,054.73","30,335.91","30,014.97","30,211.91","30,211.91","347,060,000"
2-Feb-21,"30,276.88","30,840.54","30,276.88","30,687.48","30,687.48","333,160,000"
3-Feb-21,"30,689.65","30,793.41","30,521.31","30,723.60","30,723.60","305,590,000"
4-Feb-21,"30,737.78","31,065.96","30,737.78","31,055.86","31,055.86","338,330,000"
5-Feb-21,"31,093.81","31,252.18","31,083.22","31,148.24","31,148.24","293,550,000"
8-Feb-21,"31,191.20","31,386.10","31,191.20","31,385.76","31,385.76","322,250,000"
9-Feb-21,"31,359.88","31,439.47","31,245.86","31,375.83","31,375.83","308,210,000"
10-Feb-21,"31,428.02","31,511.44","31,221.32","31,437.80","31,437.80","326,450,000"
11-Feb-21,"31,466.49","31,543.82","31,244.36","31,430.70","31,430.70","280,320,000"
12-Feb-21,"31,420.80","31,475.31","31,347.80","31,458.40","31,458.40","263,090,000"
16-Feb-21,"31,472.08","31,608.63","31,443.48","31,522.75","31,522.75","329,210,000"
17-Feb-21,"31,485.61","31,643.70","31,338.76","31,613.02","31,613.02","343,510,000"
18-Feb-21,"31,558.60","31,558.60","31,285.32","31,493.34","31,493.34","325,990,000"
19-Feb-21,"31,504.13","31,647.53","31,469.34","31,494.32","31,494.32","353,070,000"
22-Feb-21,"31,381.12","31,653.48","31,286.57","31,521.69","31,521.69","387,210,000"
23-Feb-21,"31,501.89","31,653.38","31,158.76","31,537.35","31,537.35","460,410,000"
24-Feb-21,"31,499.75","32,009.64","31,421.29","31,961.86","31,961.86","410,150,000"
25-Feb-21,"31,955.94","31,984.77","31,293.32","31,402.01","31,402.01","454,110,000"
26-Feb-21,"31,401.29","31,450.89","30,911.37","30,932.37","30,932.37","532,250,000"
1-Mar-21,"31,065.90","31,668.34","31,065.90","31,535.51","31,535.51","385,670,000"
2-Mar-21,"31,535.37","31,623.27","31,377.16","31,391.52","31,391.52","337,270,000"
3-Mar-21,"31,352.96","31,563.31","31,260.14","31,270.09","31,270.09","409,660,000"
4-Mar-21,"31,289.01","31,461.97","30,547.53","30,924.14","30,924.14","537,850,000"
5-Mar-21,"31,029.18","31,580.33","30,766.81","31,496.30","31,496.30","501,810,000"
8-Mar-21,"31,512.15","32,148.04","31,512.15","31,802.44","31,802.44","496,980,000"
9-Mar-21,"31,892.35","32,150.32","31,822.64","31,832.74","31,832.74","458,690,000"
10-Mar-21,"31,906.96","32,389.50","31,906.96","32,297.02","32,297.02","409,110,000"
