,close,high,low,open,date
2022-01-03,182.01,182.88,177.71,177.83,2022-01-03
2022-01-04,179.7,182.94,179.12,182.63,2022-01-04
2022-01-05,174.92,180.17,174.64,179.61,2022-01-05
2022-01-06,172,175.3,171.64,172.7,2022-01-06
2022-01-07,172.17,174.14,171.03,172.89,2022-01-07
2022-01-10,172.19,172.5,168.17,169.08,2022-01-10
2022-01-11,175.08,175.18,170.82,172.32,2022-01-11
2022-01-12,175.53,177.18,174.82,176.12,2022-01-12
2022-01-13,172.19,176.62,171.79,175.78,2022-01-13
2022-01-14,173.07,173.78,171.09,171.34,2022-01-14
2022-01-18,169.8,172.54,169.405,171.51,2022-01-18
2022-01-19,166.23,171.08,165.94,170,2022-01-19
2022-01-20,164.51,169.68,164.18,166.98,2022-01-20
2022-01-21,162.41,166.33,162.3,164.415,2022-01-21
2022-01-24,161.62,162.3,154.7,160.02,2022-01-24
2022-01-25,159.78,162.76,157.02,158.98,2022-01-25
2022-01-26,159.69,164.389,157.82,163.5,2022-01-26
2022-01-27,159.22,163.84,158.28,162.45,2022-01-27
2022-01-28,170.33,170.35,162.8,165.71,2022-01-28
2022-01-31,174.78,175,169.51,170.16,2022-01-31
2022-02-01,174.61,174.84,172.31,174.01,2022-02-01
2022-02-02,175.84,175.88,173.33,174.745,2022-02-02
2022-02-03,172.9,176.24,172.12,174.48,2022-02-03
2022-02-04,172.39,174.1,170.68,171.68,2022-02-04
2022-02-07,171.66,173.946,170.95,172.86,2022-02-07
2022-02-08,174.83,175.35,171.43,171.73,2022-02-08
2022-02-09,176.28,176.65,174.9,176.05,2022-02-09
2022-02-10,172.12,175.48,171.55,174.14,2022-02-10
2022-02-11,168.64,173.08,168.04,172.33,2022-02-11
2022-02-14,168.88,169.58,166.56,167.37,2022-02-14
2022-02-15,172.79,172.95,170.25,170.97,2022-02-15
2022-02-16,172.55,173.34,170.05,171.85,2022-02-16
2022-02-17,168.88,171.91,168.47,171.03,2022-02-17
2022-02-18,167.3,170.541,166.19,169.82,2022-02-18
2022-02-22,164.32,166.69,162.15,164.98,2022-02-22
2022-02-23,160.07,166.15,159.75,165.54,2022-02-23
2022-02-24,162.74,162.85,152,152.58,2022-02-24
2022-02-25,164.85,165.12,160.874,163.84,2022-02-25
2022-02-28,165.12,165.42,162.43,163.06,2022-02-28
2022-03-01,163.2,166.6,161.97,164.695,2022-03-01
2022-03-02,166.56,167.36,162.95,164.39,2022-03-02
2022-03-03,166.23,168.91,165.55,168.47,2022-03-03
2022-03-04,163.17,165.55,162.1,164.49,2022-03-04
2022-03-07,159.3,165.02,159.04,163.36,2022-03-07
2022-03-08,157.44,162.88,155.8,158.82,2022-03-08
2022-03-09,162.95,163.41,159.41,161.475,2022-03-09
2022-03-10,158.52,160.39,155.98,160.2,2022-03-10
2022-03-11,154.73,159.28,154.5,158.93,2022-03-11
2022-03-14,150.62,154.12,150.1,151.45,2022-03-14
2022-03-15,155.09,155.57,150.38,150.9,2022-03-15
2022-03-16,159.59,160,154.46,157.05,2022-03-16
2022-03-17,160.62,161,157.63,158.61,2022-03-17
2022-03-18,163.98,164.48,159.76,160.51,2022-03-18
2022-03-21,165.38,166.35,163.015,163.51,2022-03-21
2022-03-22,168.82,169.42,164.91,165.51,2022-03-22
2022-03-23,170.21,172.64,167.65,167.99,2022-03-23
2022-03-24,174.07,174.14,170.21,171.06,2022-03-24
2022-03-25,174.72,175.28,172.75,173.88,2022-03-25
2022-03-28,175.6,175.73,172,172.17,2022-03-28
2022-03-29,178.96,179.01,176.34,176.69,2022-03-29
2022-03-30,177.77,179.61,176.7,178.55,2022-03-30
2022-03-31,174.61,178.03,174.4,177.84,2022-03-31
2022-04-01,174.31,174.88,171.94,174.03,2022-04-01
2022-04-04,178.44,178.49,174.44,174.57,2022-04-04
2022-04-05,175.06,178.3,174.415,177.5,2022-04-05
2022-04-06,171.83,173.63,170.13,172.36,2022-04-06
2022-04-07,172.14,173.36,169.85,171.16,2022-04-07
2022-04-08,170.09,171.78,169.2,171.78,2022-04-08
2022-04-11,165.75,169.03,165.5,168.71,2022-04-11
2022-04-12,167.66,169.87,166.64,168.02,2022-04-12
2022-04-13,170.4,171.04,166.77,167.39,2022-04-13
2022-04-14,165.29,171.27,165.04,170.62,2022-04-14
2022-04-18,165.07,166.598,163.57,163.92,2022-04-18
2022-04-19,167.4,167.82,163.91,165.02,2022-04-19
2022-04-20,167.23,168.88,166.1,168.76,2022-04-20
2022-04-21,166.42,171.53,165.91,168.91,2022-04-21
2022-04-22,161.79,167.87,161.5,166.46,2022-04-22
2022-04-25,162.88,163.17,158.46,161.12,2022-04-25
2022-04-26,156.8,162.34,156.72,162.25,2022-04-26
2022-04-27,156.57,159.79,155.38,155.91,2022-04-27
2022-04-28,163.64,164.515,158.93,159.25,2022-04-28
2022-04-29,157.65,166.2,157.25,161.84,2022-04-29
2022-05-02,157.96,158.23,153.27,156.71,2022-05-02
2022-05-03,159.48,160.71,156.32,158.15,2022-05-03
2022-05-04,166.02,166.48,159.26,159.67,2022-05-04
2022-05-05,156.77,164.08,154.95,163.85,2022-05-05
2022-05-06,157.28,159.44,154.18,156.01,2022-05-06
2022-05-09,152.06,155.83,151.49,154.925,2022-05-09
2022-05-10,154.51,156.74,152.93,155.52,2022-05-10
2022-05-11,146.5,155.45,145.81,153.5,2022-05-11
2022-05-12,142.56,146.2,138.8,142.77,2022-05-12
2022-05-13,147.11,148.105,143.11,144.59,2022-05-13
2022-05-16,145.54,147.52,144.18,145.55,2022-05-16
2022-05-17,149.24,149.77,146.68,148.86,2022-05-17
2022-05-18,140.82,147.36,139.9,146.85,2022-05-18
2022-05-19,137.35,141.66,136.6,139.88,2022-05-19
2022-05-20,137.59,140.7,132.61,139.09,2022-05-20
2022-05-23,143.11,143.26,137.65,137.79,2022-05-23
2022-05-24,140.36,141.97,137.33,140.805,2022-05-24
2022-05-25,140.52,141.785,138.34,138.43,2022-05-25
2022-05-26,143.78,144.34,137.14,137.39,2022-05-26
2022-05-27,149.64,149.68,145.26,145.39,2022-05-27
2022-05-31,148.84,150.66,146.84,149.07,2022-05-31
2022-06-01,148.71,151.74,147.68,149.9,2022-06-01
2022-06-02,151.21,151.27,146.86,147.83,2022-06-02
2022-06-03,145.38,147.97,144.46,146.9,2022-06-03
2022-06-06,146.14,148.569,144.9,147.03,2022-06-06
2022-06-07,148.71,149,144.1,144.345,2022-06-07
2022-06-08,147.96,149.87,147.46,148.58,2022-06-08
2022-06-09,142.64,147.95,142.53,147.08,2022-06-09
2022-06-10,137.13,140.76,137.06,140.28,2022-06-10
2022-06-13,131.88,135.2,131.44,132.87,2022-06-13
2022-06-14,132.76,133.89,131.48,133.13,2022-06-14
2022-06-15,135.43,137.34,132.16,134.29,2022-06-15
2022-06-16,130.06,132.39,129.04,132.08,2022-06-16
2022-06-17,131.56,133.079,129.81,130.065,2022-06-17
2022-06-21,135.87,137.06,133.32,133.42,2022-06-21
2022-06-22,135.35,137.76,133.91,134.79,2022-06-22
2022-06-23,138.27,138.59,135.63,136.82,2022-06-23
2022-06-24,141.66,141.91,139.77,139.9,2022-06-24
2022-06-27,141.66,143.49,140.965,142.695,2022-06-27
2022-06-28,137.44,143.422,137.325,142.13,2022-06-28
2022-06-29,139.23,140.67,136.67,137.46,2022-06-29
2022-06-30,136.72,138.37,133.774,137.25,2022-06-30
2022-07-01,138.93,139.04,135.66,136.04,2022-07-01
2022-07-05,141.56,141.61,136.93,137.77,2022-07-05
2022-07-06,142.92,144.12,141.08,141.355,2022-07-06
2022-07-07,146.35,146.55,143.28,143.29,2022-07-07
2022-07-08,147.04,147.55,145,145.265,2022-07-08
2022-07-11,144.87,146.64,143.78,145.67,2022-07-11
2022-07-12,145.86,148.45,145.05,145.76,2022-07-12
2022-07-13,145.49,146.45,142.12,142.99,2022-07-13
2022-07-14,148.47,148.95,143.25,144.08,2022-07-14
2022-07-15,150.17,150.86,148.2,149.78,2022-07-15
2022-07-18,147.07,151.57,146.7,150.74,2022-07-18
2022-07-19,151,151.23,146.91,147.92,2022-07-19
2022-07-20,153.04,153.72,150.37,151.12,2022-07-20
2022-07-21,155.35,155.57,151.94,154.5,2022-07-21
2022-07-22,154.09,156.28,153.41,155.39,2022-07-22
2022-07-25,152.95,155.04,152.28,154.01,2022-07-25
2022-07-26,151.6,153.085,150.8,152.265,2022-07-26
2022-07-27,156.79,157.33,152.16,152.58,2022-07-27
2022-07-28,157.35,157.64,154.41,156.98,2022-07-28
2022-07-29,162.51,163.63,159.5,161.24,2022-07-29
2022-08-01,161.51,163.59,160.89,161.01,2022-08-01
2022-08-02,160.01,162.41,159.63,160.1,2022-08-02
