,tweet,date,id,location,id_user,score,Country,Country_real,Compound
0,https://t.co/SHqdpbP3PY : ffdfb166-c9e9-46c2-a38c-3eb95c34576d,2022-12-06 23:59:59+00:00,1600278915435601927,"Alsace, France",2669983818,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}",Alsace France,France,-0.5423
1,"RT @FDRLST: Why Elon Musk’s ‘Twitter Files’ Matter

https://t.co/ADG5yPyVKZ",2022-12-06 23:59:59+00:00,1600278912676032512,,1597982202800873473,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
2,"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:58+00:00,1600278910474027008,"柏/Kashiwa, Japan",18410208,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0258}",柏Kashiwa Japan,,0.0258
3,"RT @JackPosobiec: BREAKING: Elon Musk slams Wikipedia over 'left-wing bias' after editors attempt to delete Twitter Files entry

https://t.…",2022-12-06 23:59:58+00:00,1600278908825260033,GOODBYE IL- HELLO Knoxville TN,1382804248019226630,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",GOODBYE IL HELLO Knoxville TN,,0.2263
4,"@AlanVRK @TheBigFoxx @lrozen @lorakolodny The second, fake allegations to distract from or deter allegations made a… https://t.co/9Tn5412Xd5",2022-12-06 23:59:57+00:00,1600278906329710593,San Francisco,1345945975,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}",San Francisco,United States,-0.1027
5,"RT @CollinRugg: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

Elon caught the Elites with their pa…",2022-12-06 23:59:57+00:00,1600278904559742976,United States,1594522170289430535,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.6486}",United States,United States,-0.6486
6,RT @WatcherGuru: JUST IN: Elon Musk fires Twitter's Deputy General Council and former FBI agent Jim Baker over information suppression.,2022-12-06 23:59:57+00:00,1600278904429846533,,1459537502964961283,"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.128}",,,0.128
7,"RT @MailOnline: Elon Musk's Neuralink 'faces USDA investigation after deaths of 1,500 animals in testing' https://t.co/JJziotsKjI",2022-12-06 23:59:57+00:00,1600278903590858752,,2980261175,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
8,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:56+00:00,1600278902278004737,EVERYWHERE ,55995346,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",EVERYWHERE,United States,0.0
9,"RT @JamesBradleyCA: Elon Musk provides PROOF that the Democrats interfered with the 2020 election and like magic, the MSM are SUDDENLY all…",2022-12-06 23:59:56+00:00,1600278900604796929,"Toronto, Ontario, Canada",34507278,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",Toronto Ontario Canada,Canada,-0.5574
10,"En basit şu olayları karşılaştırın:

-Elon Musk,sosyal ağda sansür kullanıldığını doğrulayan belgeler yayınladı
Çoğ… https://t.co/T8MoOnbW4Y",2022-12-06 23:59:56+00:00,1600278900193759233,,1157725736352002048,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}",,,0.3612
11,"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:56+00:00,1600278900071976960,United States,1506076473509269509,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United States,United States,0.0
12,"RT @TaraBull808: They'll investigate Elon Musk but not FTX, Epstein Island, or Hunter Biden.",2022-12-06 23:59:56+00:00,1600278899522695169,,3616347075,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",,,0.2263
13,"RT @TaraBull808: They'll investigate Elon Musk but not FTX, Epstein Island, or Hunter Biden.",2022-12-06 23:59:55+00:00,1600278897806827520,,4065159125,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
14,"Listening to Elon Musk (Single) by @realbrysongray on @PandoraMusic
https://t.co/2clrcxPvUn https://t.co/NT3qVolDLC",2022-12-06 23:59:55+00:00,1600278897454563328,"Virginia, USA",1511474883900891136,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Virginia USA,United States,0.0
15,"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:55+00:00,1600278896087224320,London-Wales-Roaming,29447428,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",LondonWalesRoaming,,0.0
16,"RT @barstoolsports: Elon Musk released the “twitter files” and nobody seems to care.

@KFCBarstool @KFCRadio https://t.co/LLCO3ncqte",2022-12-06 23:59:55+00:00,1600278895345164288,,1586016135471833088,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",,,0.2263
17,RT @ACTBrigitte: Twitter is the most popular social media platform right now because Elon Musk restored free speech.,2022-12-06 23:59:54+00:00,1600278894283698176,"Alabama, USA",1588283921308999681,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}",Alabama USA,United States,0.4939
18,RT @thebradfordfile: This is bigger than twitter. Elon Musk is exposing the entire corrupt system of the ruling class.,2022-12-06 23:59:54+00:00,1600278893172170753,"Ojai, CA",1562203454,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.8313}",Ojai CA,United States,0.8313
19,"Siguen con el ""meme"" este de lo de información real de fútbol??

Por favor, ya ni se que decirles, ojalá algún día… https://t.co/t0RTHz8Ks4",2022-12-06 23:59:54+00:00,1600278892178071553,Malawi,1430734505132924930,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}",Malawi,Malawi,-0.2732
20,RT @WatcherGuru: JUST IN: Elon Musk fires Twitter's Deputy General Council and former FBI agent Jim Baker over information suppression.,2022-12-06 23:59:54+00:00,1600278891893239809,"Kennesaw, GA",3830710481,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.4696}",Kennesaw GA,United States,0.4696
21,"RT @CollinRugg: BREAKING: Elon Musk Fires Twitter Deputy General Counsel and Former FBI Agent Jim Baker After Bombshell Discovery
https://t…",2022-12-06 23:59:54+00:00,1600278891096002561,"Toronto, Ontario, Canada",34507278,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Toronto Ontario Canada,Canada,0.0
22,RT @AmericasGOP: BREAKING: Elon Musk is considering putting together a team of experts to fact check all the false things government offici…,2022-12-06 23:59:54+00:00,1600278891079139328,"Omaha, NE",1519483517645774849,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Omaha NE,United States,0.0
23,"RT @CollinRugg: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

Elon caught the Elites with their pa…",2022-12-06 23:59:54+00:00,1600278890999648257,,1471928995390398468,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
24,"RT @Belinda71555585: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

How long will we put up with th…",2022-12-06 23:59:53+00:00,1600278890798542848,,64524030,"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.128}",,,0.128
25,"RT @TaraBull808: Continue to expose the censorship Elon Musk, we have your back.",2022-12-06 23:59:53+00:00,1600278887757250560,"Orlando, FL",486044893,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.128}",Orlando FL,United States,0.128
26,"RT @FDRLST: Why Elon Musk’s ‘Twitter Files’ Matter

https://t.co/ADG5yPyVKZ",2022-12-06 23:59:53+00:00,1600278886822166529,The Great State of Texas,2360098075,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.1531}",The Great State of Texas,,-0.1531
27,RT @thebradfordfile: This is bigger than twitter. Elon Musk is exposing the entire corrupt system of the ruling class.,2022-12-06 23:59:52+00:00,1600278886515736577,,1585810433495154691,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0258}",,,0.0258
28,"RT @AhmedBaba_: So Elon Musk coordinated a leak attempting to accuse the Biden Admin of pressuring Twitter content moderation.

What he end…",2022-12-06 23:59:52+00:00,1600278885526306822,"Florida, USA",20520465,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}",Florida USA,United States,-0.2732
29,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:52+00:00,1600278885333082114,,1594171499660943360,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.6808}",,,-0.6808
30,RT @AmericasGOP: BREAKING: Elon Musk is considering putting together a team of experts to fact check all the false things government offici…,2022-12-06 23:59:52+00:00,1600278882628038656,,1203887463074344960,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",,,-0.2212
31,"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:51+00:00,1600278882204241920,,1594294541418479621,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
32,RT @TheOnion: Banned Users React To Elon Musk Allowing Them Back On Twitter https://t.co/MPUdNZ65I1 https://t.co/Yxmf6Q06mr,2022-12-06 23:59:51+00:00,1600278881180721152,"Paris, France",121417257,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",Paris France,France,0.2263
33,RT @DonLew87: Can we add animal cruelty to Elon's list? Current and former employees of Neuralink say Musk's push to accelerate brain chip…,2022-12-06 23:59:51+00:00,1600278878958022656,"Durham, NC",15182370,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4588}",Durham NC,United States,-0.4588
34,"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:51+00:00,1600278878580531200,,1447926628017913863,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5994}",,,-0.5994
35,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:50+00:00,1600278877632618496,,1464399061176442883,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",,,0.2263
36,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:50+00:00,1600278875405049856,,796308937,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",,,-0.5574
37,"RT @TaraBull808: They'll investigate Elon Musk but not FTX, Epstein Island, or Hunter Biden.",2022-12-06 23:59:50+00:00,1600278874310311936,"Independence, LA",919000368725528576,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",Independence LA,United States,-0.5574
38,RT @alx: BREAKING: Elon Musk has fired Twitter’s Deputy General Counsel Jim Baker “in light of concerns about Baker’s possible role in supp…,2022-12-06 23:59:49+00:00,1600278872783585280,"Omaha, NE",1519483517645774849,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Omaha NE,United States,0.0
39,RT @LilNasX: elon musk needs to put better porn on here,2022-12-06 23:59:49+00:00,1600278872670408704,,1372613742610018311,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.5574}",,,-0.5574
40,"RT @TribelSocial: BREAKING: Biden White House calls out Elon Musk, calls it a convenient “coincidence” that Musk released his Twitter Files…",2022-12-06 23:59:49+00:00,1600278872393584640,"Hamilton, Ontario",159945009,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",Hamilton Ontario,Canada,0.4404
41,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:49+00:00,1600278871747612672,"Port St Lucie, Florida",586827381,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Port St Lucie Florida,United States,0.0
42,RT @MattWallace888: Elon Musk is exposing the deep state!,2022-12-06 23:59:49+00:00,1600278871361736704,"Alabama, USA",1588283921308999681,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",Alabama USA,United States,-0.5574
43,"RT @NewYorker: Elon Musk’s stated plan is to purge Twitter of its censorious past. What does he actually think about free speech?
https://t…",2022-12-06 23:59:49+00:00,1600278870137229312,Greece,886283931519266818,"{'neg': 0.23, 'neu': 0.77, 'pos': 0.0, 'compound': -0.3382}",Greece,Ελλάς,-0.3382
44,"RT @business: Jim Baker, Twitter’s deputy general counsel, was pushed out of the company over his handling of information, Elon Musk said i…",2022-12-06 23:59:48+00:00,1600278867536936960,Pa,1197643914,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.5106}",Pa,Panamá,0.5106
45,"RT @MiddleEastEye: In September, it was revealed that Saudi Arabia would send two astronauts to the International Space Station aboard a ca…",2022-12-06 23:59:48+00:00,1600278866404134913,Canada,1722643584,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada,Canada,0.0
46,Elon is the man well done amazing things comming from Mr musk,2022-12-06 23:59:48+00:00,1600278866336960513,,834746202,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.0258}",,,0.0258
47,RT @TheOnion: Banned Users React To Elon Musk Allowing Them Back On Twitter https://t.co/MPUdNZ65I1 https://t.co/Yxmf6Q06mr,2022-12-06 23:59:47+00:00,1600278865393221633,,28647605,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.7096}",,,0.7096
48,RT @julie_kelly2: Elon Musk has fired more FBI agents than Bill Barr ever did. (That’s one for those counting at home),2022-12-06 23:59:47+00:00,1600278864814481408,,967160109230116869,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4588}",,,-0.4588
49,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:46+00:00,1600278859802451968,"Virginia Beach, VA",860565298465968128,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",Virginia Beach VA,United States,-0.5574
50,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:46+00:00,1600278858887938048,"Toronto, Ontario, Canada",34507278,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",Toronto Ontario Canada,Canada,-0.2212
51,"The Left's Propaganda Machine Comes For Elon Musk - OpEd
https://t.co/KDZDyv5wfz
By Graham J Noble*

On December 2,… https://t.co/MDfKrDCW7K",2022-12-06 23:59:46+00:00,1600278857558511618,Everywhere,21856182,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",Everywhere,United States,-0.5574
52,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:45+00:00,1600278855750914048,,49110594,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.25}",,,-0.25
53,"RT @MorePerfectUS: UPDATE: Elon Musk terminated the contract employing the striking janitors. 

""We have about 48 families out of work. And…",2022-12-06 23:59:45+00:00,1600278855251476480,JACKSON,58044422,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",JACKSON,United States,-0.2212
54,RT @LilNasX: elon musk needs to put better porn on here,2022-12-06 23:59:45+00:00,1600278855243079680,Ya Daddy Crib ,1125859474550423552,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Ya Daddy Crib,,0.0
55,@happyjersey @elonmusk https://t.co/NClpi3SRsm,2022-12-06 23:59:45+00:00,1600278853968007169,Earth,1201963637969166337,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",Earth,United States,0.4404
56,"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:44+00:00,1600278851674083328,"Michigan, USA",2546767543,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Michigan USA,United States,0.0
57,RT @thebradfordfile: This is bigger than twitter. Elon Musk is exposing the entire corrupt system of the ruling class.,2022-12-06 23:59:44+00:00,1600278850117607425,,1500296297944915968,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",,,0.2263
58,"RT @Belinda71555585: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

How long will we put up with th…",2022-12-06 23:59:44+00:00,1600278849966600192,"Durban, South Africa",1586267359924330496,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}",Durban South Africa,South Africa,-0.2732
59,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:43+00:00,1600278848674807809,,4085851533,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.128}",,,0.128
60,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:43+00:00,1600278847374577665,,1546977665978081281,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",,,-0.5574
61,"@MattWallace888 Do you feel that? Elon Musk is changing the culture! 
I feel Mr. Musk (Chief Twit) is a helper:  Le… https://t.co/bUVhZAULaM",2022-12-06 23:59:43+00:00,1600278847001616385,"California, USA",1530997293528141824,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",California USA,United States,-0.2212
62,RT @BehizyTweets: I pray that God reveals himself to Elon Musk. His heart seems to be in the right place https://t.co/xQUtvAYq8a,2022-12-06 23:59:43+00:00,1600278845546168320,Australia,1590388361713573888,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4003}",Australia,Australia,0.4003
63,I hope Elon Musk is sending HONEST people back in to look for the original copies &amp; recent deletions. https://t.co/QRA4m8Ro3I,2022-12-06 23:59:42+00:00,1600278844430110720,,251673163,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.5267}",,,0.5267
64,"RT @Belinda71555585: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

How long will we put up with th…",2022-12-06 23:59:42+00:00,1600278842534264833,,1451334348565884930,"{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.8494}",,,0.8494
65,"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:41+00:00,1600278840558858240,,61368112,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.128}",,,0.128
66,RT @TedrickG: Initial story that Twitter converted some office space into bedrooms broken by @cfarivar + @SchwabKatharine @Forbes  https://…,2022-12-06 23:59:41+00:00,1600278839967379456,DFW/Honolulu  Prev: SF/Austin,4101469589,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",DFWHonolulu  Prev SFAustin,,0.2263
