,text,date,id,location,compound
0,"RT @RBReich: Elon Musk and his enablers have turned this website into a torrent of ad hominem attacks, lies floated as jokes, and blatant m…",2022-12-12 09:47:19+00:00,1602238659243429889,California,-0.5719
1,« Elon Musk est persuadé qu’il peut tout réussir en même temps : envoyer des hommes dans l’espace et relancer Twitt… https://t.co/7ZTB2fgdnJ,2022-12-12 09:47:18+00:00,1602238656030412800,"Principal Street, Canada",-0.128
2,RT @DigiFinex: How much more do you enjoy Twitter since Elon Musk took over?,2022-12-12 09:47:18+00:00,1602238655296176128,"Dhaka, Bangladesh",0.5367
3,"RT @lordivan22: 🚨EUA 🇺🇸: Elon Musk acusou o Dr Fauci no domingo (11) com uma postagem no Twitter, de mentir para o congresso e financiar pe…",2022-12-12 09:47:17+00:00,1602238652481998849,"Goiânia, Brasil",-0.5267
4,RT @TheInsiderPaper: NEW 🚨Elon Musk: Fauci lied to Congress and funded gain-of-function research that killed millions of people.,2022-12-12 09:47:17+00:00,1602238652347654144,,-0.7964
5,RT @LaVeritaWeb: Elon Musk sbertuccia e attacca Anthony Fauci chiedendo che venga perseguito a livello penale. https://t.co/Ea5hnsqKvn,2022-12-12 09:47:17+00:00,1602238651018235905,,0.0
6,"RT @jamesjyu: Was at the Dave Chapelle show at SF tonight and who comes on but Elon Musk! 

A good 80% of the stadium boos. 18k people. and…",2022-12-12 09:47:16+00:00,1602238648501542913,██ ██████ █████ ██ ██████,0.63
7,RT @spectatorindex: TWITTER: Elon Musk says the platform will increase character limit on tweets from 280 up to 4000,2022-12-12 09:47:15+00:00,1602238644559175680,Singapore,0.3182
8,RT @joncoopertweets: Who else thinks Elon Musk should apologize to Dr. Fauci — right after he apologizes to Paul Pelosi? ✋✋,2022-12-12 09:47:15+00:00,1602238643225366528,,0.4404
9,RT @ansia_tw: Quale vorresti che fosse il prossimo acquisto di Elon Musk?,2022-12-12 09:47:15+00:00,1602238642889670656,,0.0
10,"RT @jamesjyu: Was at the Dave Chapelle show at SF tonight and who comes on but Elon Musk! 

A good 80% of the stadium boos. 18k people. and…",2022-12-12 09:47:15+00:00,1602238642436460545,Duane Kuiper's yurt,0.63
11,RT @CollinRugg: Do you trust Elon Musk more than you trust Dr. Anthony Fauci?,2022-12-12 09:47:15+00:00,1602238642390695936,,0.765
12,"RT @thehill: ""Elon Musk shows shadow-banning of conservatives no conspiracy theory"" (@TheHillOpinion)  https://t.co/SyHC22CMdP https://t.co…",2022-12-12 09:47:15+00:00,1602238641853681664,"Florida, USA",-0.6808
13,"RT @CollinRugg: JUST IN: Elon Musk directly accuses Fauci of lying to Congress, blasts Democrats for forcing their pronouns on people.

Thi…",2022-12-12 09:47:14+00:00,1602238640792694785,~,-0.7003
14,@cryptofrog202 Elon Musk ‘I am the fire starter…’,2022-12-12 09:47:14+00:00,1602238639265783810,,-0.34
15,RT @TribelSocial: GREAT NEWS! We just launched Dark Mode on @TribelSocial for our web and desktop browsers. Dark mode for the app is coming…,2022-12-12 09:47:13+00:00,1602238636791062528,"Johannesburg, South Africa",0.7667
16,"RT @CollinRugg: JUST IN: Elon Musk directly accuses Fauci of lying to Congress, blasts Democrats for forcing their pronouns on people.

Thi…",2022-12-12 09:47:13+00:00,1602238634522214400,,-0.7003
17,"RT @girldrawsghosts: elon musk is going so hard on trans people because he sees having a trans kid as being personally emasculating, but ci…",2022-12-12 09:47:13+00:00,1602238634291494914,"Washington, USA",-0.1111
18,RT @MattWallace888: Elon Musk Turned Twitter From The Worst Social Media App To The Best in Only 45 Days!,2022-12-12 09:47:13+00:00,1602238633913745408,"New Delhi, India",0.1007
19,RT @elizableu: And I’ve been working on this for years before Elon Musk purchased Twitter and NOW you wanna hate? 🤔,2022-12-12 09:47:12+00:00,1602238633133723648,,-0.5719
20,RT @__TEAM_USA: Who supports Elon Musk and his mission to expose corruption?,2022-12-12 09:47:12+00:00,1602238632227573760,,0.2263
21,"RT @JDCocchiarella: Elon Musk has spent today mocking pronouns and inciting hate towards LGBTQ+ people.

Earlier this year Elon’s daughter,…",2022-12-12 09:47:12+00:00,1602238631514718208,"Minnetonka, MN",-0.7506
22,"RT @lordivan22: 🚨EUA 🇺🇸: Elon Musk acusou o Dr Fauci no domingo (11) com uma postagem no Twitter, de mentir para o congresso e financiar pe…",2022-12-12 09:47:12+00:00,1602238630214635524,,-0.5267
23,RT @joncoopertweets: Who thinks Elon Musk should be banned from Twitter?,2022-12-12 09:47:12+00:00,1602238629153280001,,-0.4588
24,RT @cameron_kasky: Elon Musk to his child X a e 12: “These pronouns are absurd”,2022-12-12 09:47:11+00:00,1602238627739996163,idle town,0.0
25,"RT @EricArchambaul7: Elon Musk publie des Twitter Files exposant un système de listes noires secrètes.

https://t.co/DyK1BF50Ao

▶️ Twitter…",2022-12-12 09:47:10+00:00,1602238622689796097,,0.0
