tweet,date,id,location,id_user,score
"The once lambasted electric vehicle hippie, in a stroke of marketing brilliance has had the entire right wing embra… https://t.co/NFFOEMCXcc",2022-12-07 23:59:57+00:00,1600641295512371201,"Bossier City, LA",118933311,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.5994}"
"RT @spin9: เปิดราคา Tesla อย่างเป็นทางการในไทย

Model 3
Standard — 1,759,000
Long Range — 1,999,000
Performance — 2,309,000

Model Y
Standa…",2022-12-07 23:59:56+00:00,1600641290189697024,,398718149,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@MKBHD were you just at a Tesla dealer in King Of Prussia??,2022-12-07 23:59:56+00:00,1600641287379623936,48th Floor,1576524990,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@RT_com's account has been withheld in Belgium, Austria, Bulgaria, Sweden, Croatia, Spain, Slovenia, Cyprus, Slovakia, Czech Republic, Romania, Portugal, Poland, Denmark, Netherlands, Estonia, Malta, Luxembourg, Finland, France, Lithuania, Germany, Greece, Latvia, Hungary, Italy, Ireland, United Kingdom in response to a legal demand. Learn more.",2022-12-07 23:59:55+00:00,1600641284518993920,Heaven,2287197110,"{'neg': 0.033, 'neu': 0.873, 'pos': 0.094, 'compound': 0.4215}"
"RT @LucaBet_123Plus: ✅ กดรีทวิต  กดติดตาม หัวใจ ❤️
คอมเม้น  @LucaBet_123Plus

   อยากได้กดเลยงับ
       👇👇👇
https://t.co/qsjoYOekgu

#เครดิ…",2022-12-07 23:59:50+00:00,1600641265049092097,,1533269401989832706,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @lc28467239: ✅ กดรีทวิต  กดติดตาม หัวใจ ❤️
คอมเม้น  @LucaBet_123Plus

 อยากได้กดเลยงับ
       👇👇👇
https://t.co/ssT9UUUtCy

#เครดิตฟรี #เ…",2022-12-07 23:59:50+00:00,1600641263388090368,,1583418504094437378,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"MARK YOUR CALENDARS! Friday, 12/9 11:00AM CENTRAL, Lee from @teslaeconomist will join me to discuss Tesla,… https://t.co/zk3ZMECz1B",2022-12-07 23:59:50+00:00,1600641262742274054,"Earth, Solar System 1",17862108,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3595}"
"@jeffreyhammel5 @elonmusk Picking up a new Model Y on Friday, thanks for the $3,750 discount. Clearly a Win-Win for Tesla and me!",2022-12-07 23:59:49+00:00,1600641259974316032,,1170772448511451136,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.7088}"
"@auweia1 @JamesClayton5 Elon's not going to fuck you buddy, but if you're lucky maybe you can get run over by a tesla.",2022-12-07 23:59:46+00:00,1600641246208425984,buffalo ,993966054,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.6833}"
@iamtomnash You're correct @iamtomnash Tesla doesn't have a demand problem the issue I see is Tesla's are still con… https://t.co/ZSZ22DFNdP,2022-12-07 23:59:45+00:00,1600641245092741125,,1589046278243098624,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3875}"
"RT @MelaynaLokosky: I mean, I LOVE to see it! 
Theranos CEO Elizabeth Holmes sentenced to 11 years in federal prison
COO Sunny Balwani gets…",2022-12-07 23:59:45+00:00,1600641243213545472,USA,16300302,"{'neg': 0.145, 'neu': 0.592, 'pos': 0.264, 'compound': 0.6833}"
"RT @barcahoyyt: Han hackeado nuestro canal, denuncien por favor. Están en directo

TESLA LIVE 

Ayúdanos por favor🙏",2022-12-07 23:59:44+00:00,1600641237887123456,"Zaragoza, España",859879374795001856,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}"
"RT @UUUPPP11: เช้านี้ตื่นมาเจอการเปิดราคา #Tesla model 3 ในไทย ราคาไม่โหดร้ายมาก ตกล้านปลายๆ ถึงสองล้านต้นๆ

ระหว่างทางขับรถไปสภา เจอ model…",2022-12-07 23:59:44+00:00,1600641237702279169,The Martial Arts World ,1019822450689781761,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"https://t.co/0p5U3T8LTg

Tesla APIをみると面白い。入力にはJSONは使わずクエリストリングだし、コマンド系はRPCスタイルになっている。クエリ系はREST。内部は知らんけど、少なくとも外観的にはCQRSと同等の形式",2022-12-07 23:59:42+00:00,1600641230895190016,"Tokyo, Japan",12352982,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@JoeBellofatto @weed_skeleton @matt_deplorable @nickpopemod @EricRWeinstein @bariweiss @mtaibbi @elonmusk anyway, t… https://t.co/FSTTSwWqmA",2022-12-07 23:59:41+00:00,1600641227694538752,,2164153002,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @ProfBlacktruth: Elon Musk's fortune was given to him by the US government. Tesla and SpaceX are both the result of BILLIONS in federal…,2022-12-07 23:59:41+00:00,1600641227082588160,,1299506497236463616,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@pinkmenacegrrl @CollinRugg Tesla is already in TX and things are going quite well.,2022-12-07 23:59:32+00:00,1600641189773967364,,1582405612918509568,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.6834}"
@_Jamison_Gaddy Shorting tesla,2022-12-07 23:59:30+00:00,1600641179942535168,,1445825908653400064,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @spin9: เปิดราคา Tesla อย่างเป็นทางการในไทย

Model 3
Standard — 1,759,000
Long Range — 1,999,000
Performance — 2,309,000

Model Y
Standa…",2022-12-07 23:59:28+00:00,1600641170644037632,,1028214637022470146,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @NowTui: ✅ กดรีทวิต  กดติดตาม หัวใจ ❤️
คอมเม้น  @LucaBet_123Plus

 อยากได้กดเลยงับ
       👇👇👇
https://t.co/LlHqhHCOiK

#เครดิตฟรี #เครดิ…",2022-12-07 23:59:27+00:00,1600641169272188928,,1583418504094437378,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @TeslaCharging: New Tesla Supercharger: Winston-Salem, NC (12 stalls) 
https://t.co/Xf4qmHqIif https://t.co/OdQptIGl3u",2022-12-07 23:59:22+00:00,1600641145356312578,Planet Earth,1311506622821400581,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @Tesla: Delivered our first Tesla Semis last week ✌️ https://t.co/4o2tlkDcyH,2022-12-07 23:59:20+00:00,1600641137554997259,,124584997,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@RealDanODowd @Tesla @elonmusk https://t.co/DdoH9nbkX8,2022-12-07 23:59:17+00:00,1600641127119556610,"Maine, USA",246356155,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @Tesla: https://t.co/sS3CExP48Q,2022-12-07 23:59:17+00:00,1600641125123239937,"Auckland, New Zealand",356515976,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@elonmusk @charliekirk11 But I wouldn’t want to mow all the grass!! 😃. Except maybe if I had a Tesla mower? Maybe an idea @elonmusk,2022-12-07 23:59:17+00:00,1600641124720578561,"Ohio, USA",1281370947824607238,"{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.2579}"
Um sho he can find another woman ta buy Tesla's fo... Just leave her alone she not yo type anyway dat's  what she b… https://t.co/KkHLSAeKDm,2022-12-07 23:59:17+00:00,1600641124686757890,,769824243475292160,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.296}"
@ValueAnalyst1 Omar saying it's a great 😃🤣 time is like see real Dan o saying he loves Tesla 😂,2022-12-07 23:59:11+00:00,1600641099026014209,Nigeria,1317170265915351044,"{'neg': 0.0, 'neu': 0.558, 'pos': 0.442, 'compound': 0.8834}"
"RT @SEGIngenieria: Tesla logra una autonomía de 800 km en sus camiones eléctricos. 

Esta cifra es el mínimo por el cual un camión eléctric…",2022-12-07 23:59:09+00:00,1600641093325856768,"Antofagasta, Chile",769552272535777281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@ShibInfo Investment properties &amp; a Tesla. 🥰,2022-12-07 23:59:09+00:00,1600641092696899584,"Fort Lauderdale, FL",4572021879,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Serious question: does anyone with a Tesla know how to fucking drive,2022-12-07 23:59:07+00:00,1600641085566509057,"Washington, DC",1526972959646224385,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.0772}"
RT @eth_theh: @Tesla Congratulations,2022-12-07 23:59:07+00:00,1600641083238936576,,1600634517945225216,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.5994}"
